,assembler,type_input_data,type_ref_data,Contigs/scaffolds,Time_min,ContigLength/ScaffoldsLenght,Assembly_length,max_memory_vsz_mb,max_memory_rss_mb,path_ref,script,name_script,path_config_file,Comment,min_fot_score,lenght_ref,ref_vs_qry,qry_vs_ref,X19,Score,Secondary_title,Species,Gene_Count
29,ARC,genome_3x,full_mt_genom_Ecy,24693,63.23333,2516010,NA,1488.89,1463.5,NA,NA,NA,NA,NA,0.006120075138361,14370,0.984272790535839,0.00602382343472403,NA,0.249114296603963,NA,NA,0
30,ARC,genome_3x,full_mt_genom_Eve,29,19.5,20986,NA,925.7,189.88,NA,NA,NA,NA,NA,0.690599671608573,14370,0.984342379958246,0.679786524349566,NA,0.597302833634268,NA,NA,14
31,ARC,genome_3x,part_COI_Bpul,4808,69.15,1214081,NA,1100.88,1032.36,NA,NA,NA,NA,NA,0.013412614150128,16284,0.450012281994596,0.00603584110121153,NA,0.117417180983697,NA,NA,8
32,ARC,genome_3x,part_COI_Ecy,9,26.36667,6216,NA,905.88,202.56,NA,NA,NA,NA,NA,0.409501558533186,14370,0.285386221294363,0.696911196911197,NA,0.375727521962465,NA,NA,0
33,ARC,genome_NCBI,full_COI_Ecy,7,1349.11699999999996,3585,0,3224.88999999999987,3098,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.249478079331942,14370,0.171398747390397,0.687029288702929,NA,0.312690814570603,One animal,E. cyaneus,NA
34,ARC,genome_NCBI,full_mt_genom_Ecy,675,1505.68299999999999,91284,0,1607.78999999999996,1520.70000000000005,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.163167017036048,14370,0.939874739039666,0.153356557556636,NA,0.314469948778458,One animal,E. cyaneus,NA
35,ARC,genome_NCBI,full_mt_genom_Eve,22,1287.54999999999995,20885,0,1780.8900000000001,1752.66000000000008,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.688053627005027,14370,0.992205984690327,0.682690926502274,NA,0.602101270913045,One animal,E. cyaneus,NA
36,ARC,genome_NCBI,part_COI_Ecy,6,1151.45000000000005,2437,0,1796.8900000000001,1772.30999999999995,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.169589422407794,14370,0.118649965205289,0.699630693475585,NA,0.288634186938835,One animal,E. cyaneus,NA
37,ARC,genome_NCBI_50p,full_COI_Ecy,311,878.183300000000031,82161,NA,4069.59000000000015,3828.82000000000016,NA,NA,NA,NA,NA,0.174900500237337,14370,0.284272790535839,0.0497194532685824,NA,0.12802704453134,NA,NA,NA
38,ARC,genome_NCBI_50p,full_mt_genom_Ecy,25,339.283299999999997,21586,NA,3480.88999999999987,3452.92000000000007,NA,NA,NA,NA,NA,0.665709255999259,14370,0.993458594293667,0.661354581673307,NA,0.590130607991558,NA,NA,NA
39,ARC,genome_NCBI_50p,full_mt_genom_Eve,36,382.583300000000008,24857,NA,1120.88000000000011,1032.43000000000006,NA,NA,NA,NA,NA,0.583497606308082,14370,1,0.583497606308082,NA,0.548693247598485,NA,NA,NA
40,ARC,genome_NCBI_50p,part_COI_Ecy,10,326.800000000000011,7342,NA,3548.88999999999987,3522.73000000000002,NA,NA,NA,NA,NA,0.510925539318024,14370,0.283159359777314,0.554208662489785,NA,0.36207339039628,NA,NA,NA
41,ARC,transcriptome,full_COI_Ecy,5032,523.549999999999955,557556,0,1870.83999999999992,1774.32999999999993,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.026009647214604,14370,0.417188587334725,0.0108509279785349,NA,0.113561972666942,One animal,E. cyaneus,NA
42,ARC,transcriptome,full_mt_genom_Bpul,0,321.449999999999989,0,NA,1928.8900000000001,1906.57999999999993,NA,NA,NA,NA,NA,NA,16284,0,0,NA,NA,NA,NA,0
43,ARC,transcriptome,full_mt_genom_Ecy,0,239.533333333332962,0,0,2192.90999999999985,1975.3900000000001,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,No assemb,0,14370,0,0,NA,0,One animal,E. cyaneus,0
44,ARC,transcriptome,full_mt_genom_Eve,0,193.633333333332871,0,0,1120.88000000000011,1061.6099999999999,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,No assemb,0,14370,0,0,NA,0,One animal,E. cyaneus,NA
45,ARC,transcriptome,full_mt_genom_EveS_EveS,NA,250.449999999999989,NA,NA,1316.8900000000001,1051.74000000000001,NA,NA,NA,NA,S by W,NA,15601,NA,NA,NA,NA,NA,NA,0
46,ARC,transcriptome,part_COI_Ecy,3492,349.216666666666868,329475,0,4936.89000000000033,4912.25,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.043614841793764,14370,0.243006263048017,0.0105986797177328,NA,0.074376538350646,One animal,E. cyaneus,NA
47,ARC,transcriptome_10p,full_COI_Ecy,268,80.2166699999999935,95600,0,1120.88000000000011,1032.68000000000006,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.150313807531381,14370,0.343354210160056,0.0516108786610879,NA,0.137252559909027,One animal,E. cyaneus,NA
48,ARC,transcriptome_10p,full_mt_genom_Ecy,914,166.650000000000006,305021,0,1120.88000000000011,1032.52999999999997,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.047451940098715,14370,0.991927627000696,0.047068890338698,NA,0.271885637335458,One animal,E. cyaneus,NA
49,ARC,transcriptome_10p,full_mt_genom_Eve,646,177.166699999999992,292636,0,1120.88000000000011,1032.51000000000022,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.049270294716766,14370,0.994572025052192,0.0490028567913722,NA,0.273598291044108,One animal,E. cyaneus,NA
50,ARC,transcriptome_10p,part_COI_Ecy,388,75.8333300000000037,107376,0,1124.88000000000011,1032.57999999999993,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,Контигов больше 10,0.133828788556103,14370,0.334029227557411,0.0447027268663388,NA,0.128784515641871,One animal,E. cyaneus,NA
51,ARC,transcriptome_1p,full_COI_Ecy,2,1.18333299999999998,2346,0,853.080000000000041,149.680000000000007,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.163256784968684,14370,0.156645789839944,0.959505541346974,NA,0.4448520290389,One animal,E. cyaneus,NA
52,ARC,transcriptome_1p,full_mt_genom_Ecy,9,1.98333300000000001,14150,0,854.620000000000005,133.72999999999999,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.984690327070285,14370,0.944258872651357,0.958939929328622,NA,0.749750060040345,One animal,E. cyaneus,NA
53,ARC,transcriptome_1p,full_mt_genom_Eve,9,3.39999999999999991,13584,0,854.620000000000005,214.030000000000001,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.945302713987475,14370,0.900765483646486,0.952885747938751,NA,0.727516264170958,One animal,E. cyaneus,NA
54,ARC,transcriptome_1p,part_COI_Ecy,2,1.56666699999999999,2346,0,853.080000000000041,238.199999999999989,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.163256784968684,14370,0.156645789839944,0.959505541346974,NA,0.4448520290389,One animal,E. cyaneus,NA
55,ARC,transcriptome_our,full_COI_Ecy,80,27.3000000000000007,8596,0,895.370000000000005,873.590000000000032,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.598190675017395,14370,0.131315240083507,0.219520707305724,NA,0.240381655601657,Pool animals,E. cyaneus,NA
56,ARC,transcriptome_our,full_mt_genom_Ecy,1293,280.649999999999977,115182,0,3464.73000000000002,3189.07000000000016,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.126528127612202,14370,0.741057759220598,0.093764650726676,NA,0.240530983191107,Pool animals,E. cyaneus,NA
57,ARC,transcriptome_our,full_mt_genom_Eve,9691,641.833300000000008,805835,0,4393.64999999999964,4268.14000000000033,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.018381787326854,14370,0.720598469032707,0.0132458878058163,NA,0.188082333172703,Pool animals,E. cyaneus,NA
58,ARC,transcriptome_our,part_COI_Ecy,10167,149.016699999999958,837486,0,3186.03999999999996,3041.96000000000004,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_ARC,"Script_ARC,sh",/media/main/sandbox/ad/mt_BM/use_ARC/config_files,NA,0.017158495783814,14370,0.0626304801670146,0.00107464482988372,NA,0.020240494552904,Pool animals,E. cyaneus,NA
59,GetOrganelle,genome,full_COI_Bpul,1,66.7000000000000028,15634,NA,10054.0900000000001,8949.04000000000087,NA,NA,NA,NA,NA,0.963752928122304,16284,0.868635186783381,0.901304848407317,NA,0.93342324082825,NA,B. pullus,NA
60,GetOrganelle,genome,full_COI_Ecy,1,1,1601,0,9544.93000000000029,520.029999999999973,/media/main/sandbox/ad/mt_BM/ref_mt_BM,/media/main/sandbox/ad/mt_BM/use_getOrganelle,"Script_getOrganelle,sh",no_use,NA,0.197494780793319,14370,0.186778009742519,0.945736434108527,NA,0.582502306161093,Pool animals,E. cyaneus,3
61,GetOrganelle,genome,full_COI_EveS,3,236.349999999999994,4034,NA,29327.6899999999987,28085.130000000001,NA,NA,NA,NA,S by W,0.258573168386642,15601,0.257996282289597,0.997768963807635,NA,0.4619179369543,NA,NA,NA
62,GetOrganelle,genome,full_mt_genom_Bpul,1,57.9166700000000034,15727,NA,10042.8400000000001,8911.52000000000044,NA,NA,NA,NA,NA,0.965794645050356,16284,0.965794645050356,1,NA,0.98289732252518,NA,B. pullus,NA
63,GetOrganelle,genome,full_mt_genom_Bpul_Eve,NA,149.816699999999997,NA,NA,19457.880000000001,18081.7999999999993,NA,NA,NA,NA,NA,NA,16284,NA,NA,NA,NA,NA,B. pullus,NA
